#
# Database are drawn from The Atomic Line List v2.04
# http://www.pa.uky.edu/~peter/atomic/index.html
#
# Astroquery scripts are available in the database directory.
#
# Square parentheses for the forbidden lines are not allowed
# in lmfit parameterization, they are just removed. 
#
# Line          w_air      w_vac
#
# Balmer series
           H16  3703.8520  3704.9060
           H15  3711.9710  3713.0270
           H14  3721.9380  3722.9970
           H13  3734.3680  3735.4300
           H12  3750.1510  3751.2170
           H11  3770.6300  3771.7010
           H10  3797.8980  3798.9760
           H9   3835.3840  3836.4720
           H8   3889.0490  3890.1510
      Hepsilon  3970.0720  3971.1950
        Hdelta  4101.7340  4102.8920
        Hgamma  4340.4640  4341.6840
         Hbeta  4861.3250  4862.6830
        Halpha  6562.8000  6564.6100
# Paschen series
          Pa22  8359.0030  8361.3000
          Pa21  8374.4750  8376.7760
          Pa20  8392.3960  8394.7020
          Pa19  8413.3170  8415.6290
          Pa18  8437.9550  8440.2740
          Pa17  8467.2530  8469.5800
          Pa16  8502.4830  8504.8190
          Pa15  8545.3820  8547.7300
          Pa14  8598.3920  8600.7540
          Pa13  8665.0180  8667.3980
          Pa12  8750.4730  8752.8760
          Pa11  8862.7830  8865.2170
          Pa10  9014.9100  9017.3850
          Pa9   9229.0140  9231.5470
          Pa8   9545.9720  9548.5900
# Oxygen nebular lines
     OIII4931  4931.2260  4932.6030
     OIII4959  4958.9110  4960.2950
     OIII5007  5006.8430  5008.2400
       OI5577  5577.3387  5578.8874
       OI6300  6300.3040  6302.0460
       OI6364  6363.7770  6365.5360
       OI6392  6391.7330  6393.5000
      OII7319  7318.9200  7320.9400
      OII7320  7319.9900  7322.0100
      OII7330  7329.6600  7331.6800
      OII7331  7330.7300  7332.7500
# Nitrogen nebular lines
# - NII6584 is duplicated from NII6583
       NI5198  5197.9016  5199.3490
       NI5200  5200.2574  5201.7055
      NII5755  5754.6440  5756.2400
      NII6527  6527.2400  6529.0400
      NII6548  6548.0400  6549.8500
      NII6583  6583.4600  6585.2800
      NII6584  6583.4600  6585.2800
# Sulfur nebular lines
# - SII6717 is duplicated from SII6716
     SIII6312  6312.1000  6313.8000
      SII6716  6716.4400  6718.2900
      SII6717  6716.4400  6718.2900
      SII6731  6730.8100  6732.6700
       SI7725  7725.0460  7727.1720
     SIII8829  8829.4000  8831.8000
     SIII9069  9068.6000  9071.1000
     SIII9531  9530.6000  9533.2000
# Argon nebular lines
    ArIII5192  5191.8200  5193.2700
    ArIII7136  7135.8000  7137.8000
    ArIII7751  7751.1000  7753.2000
    ArIII8037  8036.6000  8038.8000
# Chlorine nebular lines
    ClIII5518  5517.7200  5519.2500
    ClIII5538  5537.8900  5539.4300
     ClII6162  6161.8300  6163.5400
    ClIII8434  8434.0000  8436.3000
    ClIII8481  8481.2000  8483.5000
    ClIII8500  8500.2000  8502.5000
    ClIII8548  8548.2000  8550.5000
     ClII8579  8578.6900  8581.0500
     ClII9124  9123.6000  9126.1000
     ClII9381  9380.8400  9383.4100
# Sodium
       NaI5890  5889.9510  5891.5830
       NaI5896  5895.9240  5897.5580
# Helium
# - HeI5876, HeI7065:  taken from NIST database
       HeI5876  5875.621   5877.249
       HeI4922  4921.9310  4923.3050
       HeI5016  5015.6776  5017.0765
       HeI5048  5047.7384  5049.1459
       HeI6678  6678.1517  6679.9956
       HeI7065  7065.190   7067.138
       HeI7281  7281.3510  7283.3570
